Company,CUSIP,Shares,Value,Discretion
"Suncor Energy, Inc.",867224107,30255854,1152748037,SOLE
"Synopsys, Inc.",871607107,11450,6813437,SOLE
"Taiwan Semiconductor Manufacturing Co., Ltd.",874039100,86500,15034565,SOLE
Target Corp.,87612E106,116294,17216164,SOLE
TC Energy Corp.,87807B107,11860400,449509160,SOLE
"TE Connectivity, Ltd.",H84989104,15766921,2371817926,SOLE
"Teck Resources, Ltd.",878742204,10554840,505576836,SOLE
The Allstate Corp.,020002101,2618,417990,SOLE
The Bank of New York Mellon Corp.,064058100,54771782,3280282024,SOLE
The Charles Schwab Corp.,808513105,85787053,6321647936,SOLE
The Cigna Group,125523100,8852809,2926473071,SOLE
The Coca-Cola Co.,191216100,24635,1568018,SOLE
"The Gap, Inc.",364760108,28971846,692137401,SOLE
"The Goldman Sachs Group, Inc.",38141G104,5423532,2453171994,SOLE
"The Home Depot, Inc.",437076102,24482,8427684,SOLE
"The PNC Financial Services Group, Inc.",693475105,14275,2219477,SOLE
The Procter & Gamble Co.,742718109,94903,15651403,SOLE
"The Travelers Co., Inc.",89417E109,112870,22950986,SOLE
The Walt Disney Co.,254687106,305856,30368442,SOLE
"The Williams Co., Inc.",969457100,37547551,1595770918,SOLE
"Thermo Fisher Scientific, Inc.",883556102,26791,14815423,SOLE
"T-Mobile U.S., Inc.",872590104,9827889,1731477484,SOLE
"Trip.com Group, Ltd.",89677Q107,30400,1428800,SOLE
Truist Financial Corp.,89832Q109,51665856,2007218506,SOLE
U.S. Bancorp,902973304,25000,992500,SOLE
UBS GROUP AG,H42097107,73442242,2155584705,SOLE
Unilever PLC,904767704,23900,1314261,SOLE
Union Pacific Corp.,907818108,282582,63937003,SOLE
"UnitedHealth Group, Inc.",91324P102,3921445,1997035081,SOLE
"Verizon Communications, Inc.",92343V104,5500,226820,SOLE
VF Corp.,918204108,42556750,574516125,SOLE
"Vipshop Holdings, Ltd.",92763W103,101997,1328001,SOLE
"Visa, Inc.",92826C839,1000,262470,SOLE
Vulcan Materials Co.,929160109,24700,6142396,SOLE
"Walmart, Inc.",931142103,201810,13664555,SOLE
Wells Fargo & Co.,949746101,92277487,5480359966,SOLE
"XP, Inc.",G98239109,34352845,604266544,SOLE
"Yum China Holdings, Inc.",98850P109,10681262,329410120,SOLE
"Zimmer Biomet Holdings, Inc.",98956P102,16745630,1817403224,SOLE
"Zoetis, Inc.",98978V103,1700,294712,SOLE
